No,Area Cell,Area Reality,Scoring,Storage,Scoring,Perimeter,Peri-Efficiency,Scoring,Total Score
1,36,10.89,9.97,3,2.16,24,0.0625,11.25,23.38
2,36,10.89,9.97,6,3.51,24,0.0625,11.25,24.72
3,48,14.52,9.18,1,1.00,28,0.0612,11.02,21.20
4,43,13.01,9.64,3,2.16,28,0.0548,9.87,21.67
5,44,13.31,9.56,5,3.09,30,0.0489,8.80,21.45
6,34,10.29,10.00,5,3.09,26,0.0503,9.05,22.14
7,42,12.71,9.71,5,3.09,26,0.0621,11.18,23.98
8,42,12.71,9.71,7,3.90,26,0.0621,11.18,24.80
9,30,9.08,9.97,3,2.16,22,0.0620,11.16,23.28
10,36,10.89,9.97,6,3.51,24,0.0625,11.25,24.72
11,30,9.08,9.97,3,2.16,22,0.0620,11.16,23.28
12,30,9.08,9.97,1,1.00,22,0.0620,11.16,22.12
13,45,13.61,9.48,5,3.09,28,0.0574,10.33,22.89
14,48,14.52,9.18,3,2.16,28,0.0612,11.02,22.36
15,30,9.08,9.97,1,1.00,22,0.0620,11.16,22.12
16,34,10.29,10.00,4,2.64,24,0.0590,10.62,23.26
17,36,10.89,9.97,6,3.51,24,0.0625,11.25,24.72
18,44,13.31,9.56,10,5.01,30,0.0489,8.80,23.37
19,48,14.52,9.18,6,3.51,28,0.0612,11.02,23.71
20,36,10.89,9.97,4,2.64,24,0.0625,11.25,23.86
21,42,12.71,9.71,6,3.51,26,0.0621,11.18,24.40
22,42,12.71,9.71,4,2.64,26,0.0621,11.18,23.53
23,42,12.71,9.71,7,3.90,26,0.0621,11.18,24.80
24,44,13.31,9.56,8,4.29,28,0.0561,10.10,23.95
25,42,12.71,9.71,10,5.01,26,0.0621,11.18,25.90
26,35,10.59,9.99,3,2.16,24,0.0608,10.94,23.08
27,49,14.82,9.07,5,3.09,28,0.0625,11.25,23.40
28,40,12.10,9.82,6,3.51,26,0.0592,10.65,23.98
29,30,9.08,9.97,1,1.00,22,0.0620,11.16,22.12
30,50,15.13,8.95,11,5.36,30,0.0556,10.00,24.31
31,36,10.89,9.97,4,2.64,26,0.0533,9.59,22.19
32,48,14.52,9.18,8,4.29,28,0.0612,11.02,24.49
33,35,10.59,9.99,1,1.00,24,0.0608,10.94,21.92
34,56,16.94,8.07,5,3.09,30,0.0622,11.20,22.36
35,35,10.59,9.99,4,2.64,24,0.0608,10.94,23.56
36,48,14.52,9.18,6,3.51,28,0.0612,11.02,23.71
37,56,16.94,8.07,3,2.16,30,0.0622,11.20,21.43
38,35,10.59,9.99,6,3.51,24,0.0608,10.94,24.43
39,36,10.89,9.97,6,3.51,24,0.0625,11.25,24.72
40,39,11.80,9.87,5,3.09,28,0.0497,8.95,21.91
41,39,11.80,9.87,6,3.51,26,0.0577,10.38,23.76
42,42,12.71,9.71,1,1.00,26,0.0621,11.18,21.89
43,42,12.71,9.71,7,3.90,26,0.0621,11.18,24.80
44,42,12.71,9.71,4,2.64,26,0.0621,11.18,23.53
45,36,10.89,9.97,1,1.00,24,0.0625,11.25,22.22
46,36,10.89,9.97,1,1.00,24,0.0625,11.25,22.22
47,36,10.89,9.97,4,2.64,24,0.0625,11.25,23.86
48,30,9.08,9.97,3,2.16,22,0.0620,11.16,23.28
49,36,10.89,9.97,4,2.64,24,0.0625,11.25,23.86
50,40,12.10,9.82,7,3.90,26,0.0592,10.65,24.38
51,44,13.31,9.56,10,5.01,28,0.0561,10.10,24.68
52,38,11.50,9.91,9,4.66,26,0.0562,10.12,24.68
53,50,15.13,8.95,4,2.64,30,0.0556,10.00,21.59
54,42,12.71,9.71,8,4.29,26,0.0621,11.18,25.18
55,49,14.82,9.07,5,3.09,28,0.0625,11.25,23.40
56,48,14.52,9.18,10,5.01,28,0.0612,11.02,25.22
57,34,10.29,10.00,3,2.16,26,0.0503,9.05,21.21
58,36,10.89,9.97,5,3.09,24,0.0625,11.25,24.30
59,48,14.52,9.18,9,4.66,28,0.0612,11.02,24.86
60,42,12.71,9.71,2,1.62,26,0.0621,11.18,22.52
