No,Area Cell,Area Reality,Scoring,Counter Area,Scoring,Window Width,Scoring,Perimeter,Peri-Efficiency,Scoring,Total Score
1,12,3.63,9.97,1,1.03,2,1.40,14,0.0612,3.67,16.08
2,12,3.63,9.97,1,1.03,3,1.64,14,0.0612,3.67,16.31
3,15,4.54,9.75,2,1.84,2,1.40,16,0.0586,3.52,16.51
4,16,4.84,9.53,1,1.03,2,1.40,16,0.0625,3.75,15.72
5,16,4.84,9.53,3,2.52,2,1.40,16,0.0625,3.75,17.21
6,28,8.47,4.53,4,3.06,3,1.64,22,0.0579,3.47,12.70
7,16,4.84,9.53,3,2.52,3,1.64,16,0.0625,3.75,17.44
8,15,4.54,9.75,2,1.84,3,1.64,16,0.0586,3.52,16.74
9,15,4.54,9.75,2,1.84,2,1.40,16,0.0586,3.52,16.51
10,15,4.54,9.75,2,1.84,3,1.64,16,0.0586,3.52,16.74
11,15,4.54,9.75,2,1.84,4,1.81,16,0.0586,3.52,16.91
12,20,6.05,8.21,5,3.46,2,1.40,18,0.0617,3.70,16.78
13,16,4.84,9.53,3,2.52,1,1.00,16,0.0625,3.75,16.80
14,15,4.54,9.75,2,1.84,3,1.64,16,0.0586,3.52,16.74
15,18,5.45,8.95,3,2.52,2,1.40,18,0.0556,3.33,16.21
16,16,4.84,9.53,3,2.52,2,1.40,16,0.0625,3.75,17.21
17,21,6.35,7.79,4,3.06,5,1.94,20,0.0525,3.15,15.93
18,15,4.54,9.75,2,1.84,2,1.40,16,0.0586,3.52,16.51
19,15,4.54,9.75,2,1.84,2,1.40,16,0.0586,3.52,16.51
20,18,5.45,8.95,3,2.52,1,1.00,18,0.0556,3.33,15.81
21,16,4.84,9.53,3,2.52,3,1.64,16,0.0625,3.75,17.44
22,18,5.45,8.95,3,2.52,4,1.81,18,0.0556,3.33,16.61
23,15,4.54,9.75,2,1.84,3,1.64,16,0.0586,3.52,16.74
24,18,5.45,8.95,1,1.03,2,1.40,18,0.0556,3.33,14.72
25,15,4.54,9.75,2,1.84,3,1.64,16,0.0586,3.52,16.74
26,15,4.54,9.75,2,1.84,4,1.81,16,0.0586,3.52,16.91
27,18,5.45,8.95,3,2.52,4,1.81,18,0.0556,3.33,16.61
28,18,5.45,8.95,3,2.52,3,1.64,18,0.0556,3.33,16.45
29,18,5.45,8.95,3,2.52,1,1.00,18,0.0556,3.33,15.81
30,16,4.84,9.53,1,1.03,2,1.40,16,0.0625,3.75,15.72
31,14,4.24,9.90,1,1.03,2,1.40,16,0.0547,3.28,15.61
32,15,4.54,9.75,2,1.84,2,1.40,16,0.0586,3.52,16.51
33,18,5.45,8.95,3,2.52,2,1.40,18,0.0556,3.33,16.21
34,18,5.45,8.95,3,2.52,3,1.64,18,0.0556,3.33,16.45
35,18,5.45,8.95,3,2.52,3,1.64,18,0.0556,3.33,16.45
36,18,5.45,8.95,3,2.52,3,1.64,18,0.0556,3.33,16.45
37,16,4.84,9.53,3,2.52,3,1.64,16,0.0625,3.75,17.44
38,15,4.54,9.75,2,1.84,1,1.00,16,0.0586,3.52,16.10
39,16,4.84,9.53,1,1.03,2,1.40,18,0.0494,2.96,14.93
40,18,5.45,8.95,3,2.52,1,1.00,18,0.0556,3.33,15.81
41,16,4.84,9.53,3,2.52,1,1.00,16,0.0625,3.75,16.80
42,23,6.96,6.89,4,3.06,5,1.94,22,0.0475,2.85,14.74
43,18,5.45,8.95,3,2.52,4,1.81,18,0.0556,3.33,16.61
44,20,6.05,8.21,4,3.06,3,1.64,18,0.0617,3.70,16.61
45,16,4.84,9.53,1,1.03,2,1.40,18,0.0494,2.96,14.93
46,18,5.45,8.95,3,2.52,4,1.81,18,0.0556,3.33,16.61
47,15,4.54,9.75,2,1.84,1,1.00,16,0.0586,3.52,16.10
48,15,4.54,9.75,2,1.84,2,1.40,16,0.0586,3.52,16.51
49,18,5.45,8.95,1,1.03,1,1.00,18,0.0556,3.33,14.31
50,18,5.45,8.95,3,2.52,3,1.64,18,0.0556,3.33,16.45
51,16,4.84,9.53,1,1.03,1,1.00,18,0.0494,2.96,14.53
52,18,5.45,8.95,3,2.52,1,1.00,18,0.0556,3.33,15.81
53,24,7.26,6.42,7,3.85,2,1.40,20,0.0600,3.60,15.28
54,15,4.54,9.75,2,1.84,3,1.64,16,0.0586,3.52,16.74
55,18,5.45,8.95,1,1.03,2,1.40,18,0.0556,3.33,14.72
56,20,6.05,8.21,3,2.52,2,1.40,18,0.0617,3.70,15.83
57,18,5.45,8.95,3,2.52,3,1.64,18,0.0556,3.33,16.45
58,18,5.45,8.95,3,2.52,2,1.40,18,0.0556,3.33,16.21
59,16,4.84,9.53,3,2.52,2,1.40,16,0.0625,3.75,17.21
60,18,5.45,8.95,3,2.52,3,1.64,18,0.0556,3.33,16.45
61,16,4.84,9.53,3,2.52,2,1.40,16,0.0625,3.75,17.21
62,16,4.84,9.53,3,2.52,2,1.40,16,0.0625,3.75,17.21
63,16,4.84,9.53,3,2.52,2,1.40,16,0.0625,3.75,17.21
64,17,5.14,9.27,2,1.84,3,1.64,18,0.0525,3.15,15.90
65,18,5.45,8.95,3,2.52,2,1.40,18,0.0556,3.33,16.21
66,16,4.84,9.53,3,2.52,3,1.64,16,0.0625,3.75,17.44
67,16,4.84,9.53,1,1.03,2,1.40,16,0.0625,3.75,15.72
68,18,5.45,8.95,3,2.52,2,1.40,18,0.0556,3.33,16.21
69,17,5.14,9.27,2,1.84,3,1.64,18,0.0525,3.15,15.90
