No,Area Cell,Area Reality,Scoring,Storage,Scoring,Perimeter,Peri-Efficiency,Scoring,Total Score
1,70,21.18,8.54,2,3.56,38,0.0485,3.88,15.98
2,73,22.08,9.15,4,4.18,42,0.0414,3.31,16.63
3,77,23.29,9.71,8,4.53,40,0.0481,3.85,18.08
4,70,21.18,8.54,2,3.56,38,0.0485,3.88,15.98
5,73,22.08,9.15,4,4.18,42,0.0414,3.31,16.63
6,96,29.04,8.37,12,4.66,44,0.0496,3.97,16.99
7,70,21.18,8.54,2,3.56,38,0.0485,3.88,15.98
8,80,24.20,9.94,4,4.18,42,0.0454,3.63,17.74
9,81,24.50,9.98,3,3.96,40,0.0506,4.05,17.99
10,75,22.69,9.47,2,3.56,40,0.0469,3.75,16.78
11,80,24.20,9.94,2,3.56,42,0.0454,3.63,17.13
12,74,22.39,9.32,3,3.96,40,0.0462,3.70,16.98
13,88,26.62,9.74,4,4.18,48,0.0382,3.06,16.97
14,74,22.39,9.32,5,4.31,44,0.0382,3.06,16.68
15,80,24.20,9.94,2,3.56,42,0.0454,3.63,17.13
16,73,22.08,9.15,4,4.18,42,0.0414,3.31,16.63
17,86,26.02,9.90,4,4.18,48,0.0373,2.99,17.06
18,73,22.08,9.15,4,4.18,42,0.0414,3.31,16.63
19,80,24.20,9.94,2,3.56,42,0.0454,3.63,17.13
20,77,23.29,9.71,3,3.96,44,0.0398,3.18,16.85
21,79,23.90,9.88,5,4.31,44,0.0408,3.26,17.45
22,74,22.39,9.32,3,3.96,40,0.0462,3.70,16.98
23,79,23.90,9.88,5,4.31,44,0.0408,3.26,17.45
24,90,27.23,9.50,8,4.53,44,0.0465,3.72,17.75
25,75,22.69,9.47,4,4.18,40,0.0469,3.75,17.39
26,74,22.39,9.32,5,4.31,42,0.0420,3.36,16.98
27,91,27.53,9.36,4,4.18,46,0.0430,3.44,16.98
28,75,22.69,9.47,2,3.56,40,0.0469,3.75,16.78
29,73,22.08,9.15,4,4.18,42,0.0414,3.31,16.63
30,93,28.13,9.02,3,3.96,44,0.0480,3.84,16.82
31,81,24.50,9.98,7,4.47,44,0.0418,3.35,17.80
32,81,24.50,9.98,7,4.47,44,0.0418,3.35,17.80
33,81,24.50,9.98,8,4.53,48,0.0352,2.81,17.31
34,70,21.18,8.54,2,3.56,38,0.0485,3.88,15.98
35,81,24.50,9.98,5,4.31,44,0.0418,3.35,17.63
36,92,27.83,9.20,7,4.47,42,0.0522,4.17,17.84
37,75,22.69,9.47,2,3.56,40,0.0469,3.75,16.78
38,75,22.69,9.47,2,3.56,40,0.0469,3.75,16.78
39,78,23.60,9.80,8,4.53,38,0.0540,4.32,18.65
40,87,26.32,9.83,9,4.57,48,0.0378,3.02,17.42
41,75,22.69,9.47,4,4.18,40,0.0469,3.75,17.39
42,77,23.29,9.71,6,4.40,40,0.0481,3.85,17.96
43,84,25.41,9.98,7,4.47,44,0.0434,3.47,17.93
44,79,23.90,9.88,5,4.31,46,0.0373,2.99,17.18
45,90,27.23,9.50,5,4.31,46,0.0425,3.40,17.22
46,121,36.60,-3.46,13,4.68,54,0.0415,3.32,4.54
47,89,26.92,9.63,10,4.60,44,0.0460,3.68,17.91
48,83,25.11,10.00,4,4.18,44,0.0429,3.43,17.60
49,91,27.53,9.36,9,4.57,46,0.0430,3.44,17.37
50,84,25.41,9.98,7,4.47,42,0.0476,3.81,18.27
51,86,26.02,9.90,5,4.31,48,0.0373,2.99,17.19
52,80,24.20,9.94,2,3.56,42,0.0454,3.63,17.13
53,79,23.90,9.88,3,3.96,40,0.0494,3.95,17.79
54,81,24.50,9.98,7,4.47,44,0.0418,3.35,17.80
55,80,24.20,9.94,7,4.47,46,0.0378,3.02,17.43
56,95,28.74,8.60,7,4.47,56,0.0303,2.42,15.50
57,83,25.11,10.00,3,3.96,44,0.0429,3.43,17.39
58,95,28.74,8.60,11,4.63,46,0.0449,3.59,16.83
59,83,25.11,10.00,9,4.57,42,0.0471,3.76,18.33
60,87,26.32,9.83,7,4.47,48,0.0378,3.02,17.32
61,88,26.62,9.74,6,4.40,46,0.0416,3.33,17.47
62,78,23.60,9.80,4,4.18,44,0.0403,3.22,17.20
63,70,21.18,8.54,2,3.56,38,0.0485,3.88,15.98
64,93,28.13,9.02,4,4.18,50,0.0372,2.98,16.17
65,75,22.69,9.47,2,3.56,40,0.0469,3.75,16.78
66,93,28.13,9.02,3,3.96,44,0.0480,3.84,16.82
67,71,21.48,8.76,3,3.96,40,0.0444,3.55,16.27
68,85,25.71,9.95,8,4.53,44,0.0439,3.51,17.99
69,86,26.02,9.90,10,4.60,44,0.0444,3.55,18.05
70,96,29.04,8.37,11,4.63,44,0.0496,3.97,16.97
71,72,21.78,8.96,4,4.18,42,0.0408,3.27,16.40
72,73,22.08,9.15,4,4.18,42,0.0414,3.31,16.63
73,81,24.50,9.98,5,4.31,44,0.0418,3.35,17.63
74,83,25.11,10.00,3,3.96,44,0.0429,3.43,17.39
75,86,26.02,9.90,7,4.47,46,0.0406,3.25,17.62
76,77,23.29,9.71,8,4.53,40,0.0481,3.85,18.08
77,74,22.39,9.32,5,4.31,42,0.0420,3.36,16.98
78,82,24.81,10.00,6,4.40,42,0.0465,3.72,18.12
79,79,23.90,9.88,5,4.31,46,0.0373,2.99,17.18
80,73,22.08,9.15,4,4.18,42,0.0414,3.31,16.63
81,72,21.78,8.96,5,4.31,40,0.0450,3.60,16.87
82,79,23.90,9.88,3,3.96,42,0.0448,3.58,17.42
83,75,22.69,9.47,4,4.18,42,0.0425,3.40,17.04
84,79,23.90,9.88,3,3.96,42,0.0448,3.58,17.42
85,84,25.41,9.98,8,4.53,40,0.0525,4.20,18.71
86,74,22.39,9.32,5,4.31,44,0.0382,3.06,16.68
87,87,26.32,9.83,5,4.31,44,0.0449,3.60,17.73
88,78,23.60,9.80,7,4.47,38,0.0540,4.32,18.60
